Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
academic_articles,Identification of two-dimensional copper signatures in human blood for bladder cancer with machine learning,Chemical Science,,,2022,"Weichao Wang, Xian Liu, Changwen Zhang, Fei Sheng, Shanjun Song, Penghui Li, **Shaoqing Dai**, Bin Wang,
Dawei Lu, Luyao Zhang, Xuezhi Yang, Zhihong Zhang, Sijin Liu, Aiqian Zhang, Qian Liu, Guibin Jiang.","3(6), 1648-1656. doi:10.1039/D1SC06156A.","SCI, IF=7.4",TRUE
academic_articles,Improving plot-level model of forest biomass: A combined approach using machine learning with spatial statistics,Forests,,,2021,"**Shaoqing Dai**, XiaomanZheng, Lei Gao, Chengdong Xu, Shudi Zuo, Qi Chen, Xiaohua Wei, Yin Ren","12(12), 1663. doi:10.3390/f12121663. ","SCI, IF=2.5",TRUE
academic_articles,New approaches to anticipate the risk of reverse zoonosis,Trends in Ecology & Evolution,,,2021,"Peng Jia,  **Shaoqing Dai**,  Tong Wu,  Shujuan Yang.","36(7), 580-590. doi:10.1016/j.tree.2021.03.012.","SCI, IF=17.3",TRUE
academic_articles,"Refined water security assessment for sustainable water management: A case study of 15 key cities in the Yangtze River Delta, China",Journal of Environmental Management,,,2021,"Panfeng Dou, Shudi Zuo, Yin Ren, Manuel J. Rodriguez, **Shaoqing Dai**.","290, 112588. doi:10.1016/j.jenvman.2021.112588.","SCI, IF=8.4",TRUE
academic_articles,Pitfalls in Modeling Asymptomatic COVID-19 Infection,Frontiers in Public Health,,,2021,"Shujuan Yang, **Shaoqing Dai**, Yulin Huang, Peng Jia. ","9, 593176. doi:10.3389/fpubh.2021.593176.","SCI, IF=3.4",TRUE
academic_articles,High spatial resolution mapping of steel resources accumulated above ground in mainland China: Past trends and future prospects,Journal of Cleaner Production,,,2021,"Lulu Song,  **Shaoqing Dai**,  Zhi Cao,  Yupeng Liu,  Weiqiang Chen.","297, 144609. doi:10.1016/j.jclepro.2021.126482.","SCI, IF=10.0",TRUE
academic_articles,The direct and interactive impacts of hydrological factors on bacillary dysentery across different geographical regions in central China. ,Science of the Total Environment,,,2020,"Shudi Zuo, Lianping Yang, Panfeng Dou, Hung Chak Ho, **SQ. Dai**, Wenjun Ma, Yin Ren, Cunrui Huang.","764, 144609. doi:10.1016/j.scitotenv.2020.144609.","SCI, IF=8.0",TRUE
academic_articles,"Investigating the uncertainties propagation analysis of CO<SUB>2</SUB> emissions emissions gridded maps at the urban scales: a case study of Jinjiang city, China.",Remote Sensing,,,2020,"**Shaoqing Dai**, Yin Ren, Shudi Zuo, Chengyi Lai, Jiajia Li, Shengyu Xie, Bingchu Chen.","12(23), 3932. doi:10.3390/rs12233932","SCI, IF=4.1",TRUE
academic_articles,The Evaluation of Health Effect of Short-term Exposure to PM2.5 during Spring Festival: A Case Study of 25 Cities in the Yangtze River Delta,Shanghai Urban Planning Review,,,2020,"**Shaoqing Dai**, Jiajia Li, Weixu Yang, Fangyu Chen, Huixian Jiang.","05, 22-29. doi:10.11982/j.supr.20200504. ",in Chinese,TRUE
academic_articles,Natural environment and childhood obesity: A systematic review,Obesity Reviews,,,2020,"Peng Jia, **Shaoqing Dai**, Kristen. E. Rohli, Robert V. Rohli, Yanan Ma, Chao Yu, Xiongfeng Pan, Weiqi Zhou.",1-9. doi:10.1111/obr.13097,"SCI, IF=7.4",TRUE
